TimeStamp: 2022/01/19 12:24:29.320396, ElapsedTime[s]: 109.891, Temperature[degC]: 16.94896, Humidity[%]: 61.17037
TimeStamp: 2022/01/19 12:24:30.652739, ElapsedTime[s]: 111.222, Temperature[degC]: 16.92225, Humidity[%]: 61.10017
TimeStamp: 2022/01/19 12:24:31.984438, ElapsedTime[s]: 112.555, Temperature[degC]: 16.96498, Humidity[%]: 61.04066
TimeStamp: 2022/01/19 12:24:33.317360, ElapsedTime[s]: 113.887, Temperature[degC]: 16.96498, Humidity[%]: 60.99641
TimeStamp: 2022/01/19 12:24:34.649886, ElapsedTime[s]: 115.22, Temperature[degC]: 16.94896, Humidity[%]: 60.89418
TimeStamp: 2022/01/19 12:24:35.984025, ElapsedTime[s]: 116.554, Temperature[degC]: 16.94896, Humidity[%]: 60.88197
TimeStamp: 2022/01/19 12:24:37.317318, ElapsedTime[s]: 117.89, Temperature[degC]: 16.97833, Humidity[%]: 60.85298
TimeStamp: 2022/01/19 12:24:38.652837, ElapsedTime[s]: 119.223, Temperature[degC]: 16.94896, Humidity[%]: 60.81331
TimeStamp: 2022/01/19 12:24:39.985815, ElapsedTime[s]: 120.556, Temperature[degC]: 16.94896, Humidity[%]: 60.85908
TimeStamp: 2022/01/19 12:24:41.319267, ElapsedTime[s]: 121.889, Temperature[degC]: 16.96498, Humidity[%]: 60.95064
TimeStamp: 2022/01/19 12:24:42.651243, ElapsedTime[s]: 123.223, Temperature[degC]: 16.94896, Humidity[%]: 60.92775
TimeStamp: 2022/01/19 12:24:43.984400, ElapsedTime[s]: 124.554, Temperature[degC]: 16.94896, Humidity[%]: 60.9369
TimeStamp: 2022/01/19 12:24:45.317051, ElapsedTime[s]: 125.887, Temperature[degC]: 16.97833, Humidity[%]: 60.96437
TimeStamp: 2022/01/19 12:24:46.648811, ElapsedTime[s]: 127.219, Temperature[degC]: 16.94896, Humidity[%]: 61.00557
TimeStamp: 2022/01/19 12:24:47.981335, ElapsedTime[s]: 128.551, Temperature[degC]: 16.94896, Humidity[%]: 61.00557
TimeStamp: 2022/01/19 12:24:49.313484, ElapsedTime[s]: 129.883, Temperature[degC]: 16.93561, Humidity[%]: 61.1017
TimeStamp: 2022/01/19 12:24:50.644901, ElapsedTime[s]: 131.215, Temperature[degC]: 16.96498, Humidity[%]: 61.10628
TimeStamp: 2022/01/19 12:24:51.976442, ElapsedTime[s]: 132.547, Temperature[degC]: 16.94896, Humidity[%]: 61.15053
TimeStamp: 2022/01/19 12:24:53.307931, ElapsedTime[s]: 133.878, Temperature[degC]: 16.96498, Humidity[%]: 61.19783
TimeStamp: 2022/01/19 12:24:54.640641, ElapsedTime[s]: 135.21, Temperature[degC]: 16.97833, Humidity[%]: 61.24666
TimeStamp: 2022/01/19 12:24:55.973786, ElapsedTime[s]: 136.544, Temperature[degC]: 16.96498, Humidity[%]: 61.25277
TimeStamp: 2022/01/19 12:24:57.305967, ElapsedTime[s]: 137.876, Temperature[degC]: 16.96498, Humidity[%]: 61.31075
TimeStamp: 2022/01/19 12:24:58.637066, ElapsedTime[s]: 139.207, Temperature[degC]: 16.94896, Humidity[%]: 61.27413
TimeStamp: 2022/01/19 12:24:59.969128, ElapsedTime[s]: 140.538, Temperature[degC]: 16.97833, Humidity[%]: 61.23293
TimeStamp: 2022/01/19 12:25:01.300398, ElapsedTime[s]: 141.877, Temperature[degC]: 16.94896, Humidity[%]: 61.22835
TimeStamp: 2022/01/19 12:25:02.640555, ElapsedTime[s]: 143.215, Temperature[degC]: 16.96498, Humidity[%]: 61.21004
TimeStamp: 2022/01/19 12:25:03.976626, ElapsedTime[s]: 144.552, Temperature[degC]: 16.99435, Humidity[%]: 61.31533
TimeStamp: 2022/01/19 12:25:05.314085, ElapsedTime[s]: 145.889, Temperature[degC]: 16.97833, Humidity[%]: 61.37941
TimeStamp: 2022/01/19 12:25:06.651216, ElapsedTime[s]: 147.231, Temperature[degC]: 16.97833, Humidity[%]: 61.45723
TimeStamp: 2022/01/19 12:25:07.992254, ElapsedTime[s]: 148.57, Temperature[degC]: 17.0077, Humidity[%]: 61.58542
TimeStamp: 2022/01/19 12:25:09.331287, ElapsedTime[s]: 149.91, Temperature[degC]: 16.99435, Humidity[%]: 61.68307
TimeStamp: 2022/01/19 12:25:10.673123, ElapsedTime[s]: 151.244, Temperature[degC]: 16.97833, Humidity[%]: 61.73648
TimeStamp: 2022/01/19 12:25:12.5052, ElapsedTime[s]: 152.575, Temperature[degC]: 16.96498, Humidity[%]: 61.81125
TimeStamp: 2022/01/19 12:25:13.334635, ElapsedTime[s]: 153.905, Temperature[degC]: 16.99435, Humidity[%]: 61.87381
TimeStamp: 2022/01/19 12:25:14.667357, ElapsedTime[s]: 155.237, Temperature[degC]: 16.99435, Humidity[%]: 61.90738
TimeStamp: 2022/01/19 12:25:15.999149, ElapsedTime[s]: 156.57, Temperature[degC]: 16.97833, Humidity[%]: 61.84787
TimeStamp: 2022/01/19 12:25:17.332482, ElapsedTime[s]: 157.903, Temperature[degC]: 17.0077, Humidity[%]: 61.81888
TimeStamp: 2022/01/19 12:25:18.664669, ElapsedTime[s]: 159.235, Temperature[degC]: 16.99435, Humidity[%]: 61.76089
TimeStamp: 2022/01/19 12:25:19.997066, ElapsedTime[s]: 160.567, Temperature[degC]: 16.97833, Humidity[%]: 61.73648
TimeStamp: 2022/01/19 12:25:21.329536, ElapsedTime[s]: 161.9, Temperature[degC]: 16.99435, Humidity[%]: 61.68307
TimeStamp: 2022/01/19 12:25:22.662078, ElapsedTime[s]: 163.232, Temperature[degC]: 17.0077, Humidity[%]: 61.76394
TimeStamp: 2022/01/19 12:25:23.993695, ElapsedTime[s]: 164.564, Temperature[degC]: 16.99435, Humidity[%]: 61.81582
TimeStamp: 2022/01/19 12:25:25.326478, ElapsedTime[s]: 165.897, Temperature[degC]: 17.0077, Humidity[%]: 61.91043
TimeStamp: 2022/01/19 12:25:26.661693, ElapsedTime[s]: 167.232, Temperature[degC]: 17.02372, Humidity[%]: 61.88907
TimeStamp: 2022/01/19 12:25:27.994131, ElapsedTime[s]: 168.563, Temperature[degC]: 16.99435, Humidity[%]: 61.95316
TimeStamp: 2022/01/19 12:25:29.325276, ElapsedTime[s]: 169.896, Temperature[degC]: 17.0077, Humidity[%]: 61.98825
TimeStamp: 2022/01/19 12:25:30.657720, ElapsedTime[s]: 171.227, Temperature[degC]: 17.02372, Humidity[%]: 62.10269
TimeStamp: 2022/01/19 12:25:31.988635, ElapsedTime[s]: 172.559, Temperature[degC]: 17.02372, Humidity[%]: 62.14847
TimeStamp: 2022/01/19 12:25:33.321067, ElapsedTime[s]: 173.891, Temperature[degC]: 17.0077, Humidity[%]: 62.23239
TimeStamp: 2022/01/19 12:25:34.652866, ElapsedTime[s]: 175.223, Temperature[degC]: 17.02372, Humidity[%]: 62.24613
TimeStamp: 2022/01/19 12:25:35.984941, ElapsedTime[s]: 176.555, Temperature[degC]: 16.99435, Humidity[%]: 62.1088
TimeStamp: 2022/01/19 12:25:37.317741, ElapsedTime[s]: 177.888, Temperature[degC]: 17.02372, Humidity[%]: 61.90127
TimeStamp: 2022/01/19 12:25:38.648097, ElapsedTime[s]: 179.221, Temperature[degC]: 16.99435, Humidity[%]: 61.57168
TimeStamp: 2022/01/19 12:25:39.983430, ElapsedTime[s]: 180.554, Temperature[degC]: 17.02372, Humidity[%]: 61.25124
TimeStamp: 2022/01/19 12:25:41.315897, ElapsedTime[s]: 181.885, Temperature[degC]: 17.02372, Humidity[%]: 61.00557
TimeStamp: 2022/01/19 12:25:42.647102, ElapsedTime[s]: 183.217, Temperature[degC]: 17.02372, Humidity[%]: 60.71259
TimeStamp: 2022/01/19 12:25:43.978122, ElapsedTime[s]: 184.548, Temperature[degC]: 17.03708, Humidity[%]: 60.44709
TimeStamp: 2022/01/19 12:25:45.309091, ElapsedTime[s]: 185.879, Temperature[degC]: 17.02372, Humidity[%]: 60.22126
TimeStamp: 2022/01/19 12:25:46.640997, ElapsedTime[s]: 187.211, Temperature[degC]: 17.0077, Humidity[%]: 59.98322
TimeStamp: 2022/01/19 12:25:47.973649, ElapsedTime[s]: 188.544, Temperature[degC]: 17.02372, Humidity[%]: 59.74975
TimeStamp: 2022/01/19 12:25:49.305209, ElapsedTime[s]: 189.875, Temperature[degC]: 17.02372, Humidity[%]: 59.67193
TimeStamp: 2022/01/19 12:25:50.636827, ElapsedTime[s]: 191.207, Temperature[degC]: 17.0077, Humidity[%]: 59.75891
TimeStamp: 2022/01/19 12:25:51.969216, ElapsedTime[s]: 192.538, Temperature[degC]: 17.02372, Humidity[%]: 59.9298
TimeStamp: 2022/01/19 12:25:53.300331, ElapsedTime[s]: 193.871, Temperature[degC]: 17.02372, Humidity[%]: 60.15259
TimeStamp: 2022/01/19 12:25:54.632546, ElapsedTime[s]: 195.202, Temperature[degC]: 17.0077, Humidity[%]: 60.30823
TimeStamp: 2022/01/19 12:25:55.965108, ElapsedTime[s]: 196.535, Temperature[degC]: 17.0077, Humidity[%]: 60.29603
TimeStamp: 2022/01/19 12:25:57.300111, ElapsedTime[s]: 197.87, Temperature[degC]: 17.0077, Humidity[%]: 60.26246
TimeStamp: 2022/01/19 12:25:58.631542, ElapsedTime[s]: 199.202, Temperature[degC]: 17.02372, Humidity[%]: 60.10834
TimeStamp: 2022/01/19 12:25:59.963461, ElapsedTime[s]: 200.533, Temperature[degC]: 17.02372, Humidity[%]: 59.99695
TimeStamp: 2022/01/19 12:26:01.294912, ElapsedTime[s]: 201.871, Temperature[degC]: 17.02372, Humidity[%]: 59.87335
TimeStamp: 2022/01/19 12:26:02.632379, ElapsedTime[s]: 203.207, Temperature[degC]: 17.03708, Humidity[%]: 59.8291
TimeStamp: 2022/01/19 12:26:03.968658, ElapsedTime[s]: 204.544, Temperature[degC]: 17.0077, Humidity[%]: 59.80468
TimeStamp: 2022/01/19 12:26:05.307706, ElapsedTime[s]: 205.883, Temperature[degC]: 17.03708, Humidity[%]: 59.77417
TimeStamp: 2022/01/19 12:26:06.643274, ElapsedTime[s]: 207.222, Temperature[degC]: 17.02372, Humidity[%]: 59.82757
TimeStamp: 2022/01/19 12:26:07.984114, ElapsedTime[s]: 208.559, Temperature[degC]: 17.03708, Humidity[%]: 59.78332
TimeStamp: 2022/01/19 12:26:09.319898, ElapsedTime[s]: 209.901, Temperature[degC]: 17.03708, Humidity[%]: 59.80926
TimeStamp: 2022/01/19 12:26:10.664012, ElapsedTime[s]: 211.234, Temperature[degC]: 17.03708, Humidity[%]: 59.81994
TimeStamp: 2022/01/19 12:26:11.995384, ElapsedTime[s]: 212.565, Temperature[degC]: 17.05043, Humidity[%]: 59.83215
TimeStamp: 2022/01/19 12:26:13.327098, ElapsedTime[s]: 213.897, Temperature[degC]: 17.03708, Humidity[%]: 59.81994
