TimeStamp: 2022/01/18 18:05:36.168, ElapsedTime[s]: 51.81901, Temperature[degC]: 20.96514, Humidity[%]: 54.61814
TimeStamp: 2022/01/18 18:05:37.339934, ElapsedTime[s]: 53.156, Temperature[degC]: 20.96514, Humidity[%]: 54.61814
TimeStamp: 2022/01/18 18:05:38.678912, ElapsedTime[s]: 54.494, Temperature[degC]: 20.95178, Humidity[%]: 54.65477
TimeStamp: 2022/01/18 18:05:40.16290, ElapsedTime[s]: 55.832, Temperature[degC]: 20.95178, Humidity[%]: 54.64256
TimeStamp: 2022/01/18 18:05:41.353380, ElapsedTime[s]: 57.169, Temperature[degC]: 20.96514, Humidity[%]: 54.59526
TimeStamp: 2022/01/18 18:05:42.691016, ElapsedTime[s]: 58.507, Temperature[degC]: 20.96514, Humidity[%]: 54.55863
TimeStamp: 2022/01/18 18:05:44.28777, ElapsedTime[s]: 59.84601, Temperature[degC]: 20.95178, Humidity[%]: 54.5449
TimeStamp: 2022/01/18 18:05:45.365461, ElapsedTime[s]: 61.18101, Temperature[degC]: 20.93576, Humidity[%]: 54.48081
TimeStamp: 2022/01/18 18:05:46.703207, ElapsedTime[s]: 62.518, Temperature[degC]: 20.93576, Humidity[%]: 54.48081
TimeStamp: 2022/01/18 18:05:48.40466, ElapsedTime[s]: 63.85601, Temperature[degC]: 20.96514, Humidity[%]: 54.55863
TimeStamp: 2022/01/18 18:05:49.378957, ElapsedTime[s]: 65.194, Temperature[degC]: 20.96514, Humidity[%]: 54.50981
TimeStamp: 2022/01/18 18:05:50.716362, ElapsedTime[s]: 66.53201, Temperature[degC]: 20.95178, Humidity[%]: 54.49455
TimeStamp: 2022/01/18 18:05:52.53912, ElapsedTime[s]: 67.86901, Temperature[degC]: 20.95178, Humidity[%]: 54.44877
TimeStamp: 2022/01/18 18:05:53.390072, ElapsedTime[s]: 69.206, Temperature[degC]: 20.93576, Humidity[%]: 54.40757
TimeStamp: 2022/01/18 18:05:54.728718, ElapsedTime[s]: 70.54301, Temperature[degC]: 20.93576, Humidity[%]: 54.35874
TimeStamp: 2022/01/18 18:05:56.65851, ElapsedTime[s]: 71.882, Temperature[degC]: 20.96514, Humidity[%]: 54.31602
TimeStamp: 2022/01/18 18:05:57.402944, ElapsedTime[s]: 73.218, Temperature[degC]: 20.95178, Humidity[%]: 54.25345
TimeStamp: 2022/01/18 18:05:58.739537, ElapsedTime[s]: 74.555, Temperature[degC]: 20.97849, Humidity[%]: 54.2443
TimeStamp: 2022/01/18 18:06:00.77313, ElapsedTime[s]: 75.897, Temperature[degC]: 20.96514, Humidity[%]: 54.23057
TimeStamp: 2022/01/18 18:06:01.417647, ElapsedTime[s]: 77.24401, Temperature[degC]: 20.96514, Humidity[%]: 54.18326
TimeStamp: 2022/01/18 18:06:02.765412, ElapsedTime[s]: 78.58901, Temperature[degC]: 20.96514, Humidity[%]: 54.25345
TimeStamp: 2022/01/18 18:06:04.111092, ElapsedTime[s]: 79.939, Temperature[degC]: 20.96514, Humidity[%]: 54.27939
TimeStamp: 2022/01/18 18:06:05.460819, ElapsedTime[s]: 81.286, Temperature[degC]: 20.97849, Humidity[%]: 54.3801
TimeStamp: 2022/01/18 18:06:06.809584, ElapsedTime[s]: 82.63801, Temperature[degC]: 20.95178, Humidity[%]: 54.48234
TimeStamp: 2022/01/18 18:06:08.160933, ElapsedTime[s]: 83.98601, Temperature[degC]: 20.96514, Humidity[%]: 54.58305
TimeStamp: 2022/01/18 18:06:09.509834, ElapsedTime[s]: 85.33801, Temperature[degC]: 20.97849, Humidity[%]: 54.6334
TimeStamp: 2022/01/18 18:06:10.861585, ElapsedTime[s]: 86.682, Temperature[degC]: 20.93576, Humidity[%]: 54.66392
TimeStamp: 2022/01/18 18:06:12.204647, ElapsedTime[s]: 88.02401, Temperature[degC]: 20.95178, Humidity[%]: 54.71427
TimeStamp: 2022/01/18 18:06:13.545476, ElapsedTime[s]: 89.36501, Temperature[degC]: 20.96514, Humidity[%]: 54.7158
TimeStamp: 2022/01/18 18:06:14.886701, ElapsedTime[s]: 90.70701, Temperature[degC]: 20.95178, Humidity[%]: 54.77378
TimeStamp: 2022/01/18 18:06:16.228416, ElapsedTime[s]: 92.04801, Temperature[degC]: 20.97849, Humidity[%]: 54.79209
TimeStamp: 2022/01/18 18:06:17.570351, ElapsedTime[s]: 93.39001, Temperature[degC]: 20.95178, Humidity[%]: 54.72801
TimeStamp: 2022/01/18 18:06:18.910920, ElapsedTime[s]: 94.73101, Temperature[degC]: 20.93576, Humidity[%]: 54.6746
TimeStamp: 2022/01/18 18:06:20.253100, ElapsedTime[s]: 96.07401, Temperature[degC]: 20.93576, Humidity[%]: 54.66392
TimeStamp: 2022/01/18 18:06:21.596439, ElapsedTime[s]: 97.41801, Temperature[degC]: 20.93576, Humidity[%]: 54.73716
TimeStamp: 2022/01/18 18:06:22.939775, ElapsedTime[s]: 98.759, Temperature[degC]: 20.96514, Humidity[%]: 54.76463
TimeStamp: 2022/01/18 18:06:24.280892, ElapsedTime[s]: 100.101, Temperature[degC]: 20.95178, Humidity[%]: 54.71427
TimeStamp: 2022/01/18 18:06:25.623446, ElapsedTime[s]: 101.443, Temperature[degC]: 20.95178, Humidity[%]: 54.67765
TimeStamp: 2022/01/18 18:06:26.965260, ElapsedTime[s]: 102.785, Temperature[degC]: 20.95178, Humidity[%]: 54.71427
TimeStamp: 2022/01/18 18:06:28.306718, ElapsedTime[s]: 104.126, Temperature[degC]: 20.96514, Humidity[%]: 54.67918
TimeStamp: 2022/01/18 18:06:29.649651, ElapsedTime[s]: 105.469, Temperature[degC]: 20.90906, Humidity[%]: 54.65934
TimeStamp: 2022/01/18 18:06:30.991926, ElapsedTime[s]: 106.811, Temperature[degC]: 20.95178, Humidity[%]: 54.64256
TimeStamp: 2022/01/18 18:06:32.333208, ElapsedTime[s]: 108.154, Temperature[degC]: 20.95178, Humidity[%]: 54.56779
TimeStamp: 2022/01/18 18:06:33.677218, ElapsedTime[s]: 109.497, Temperature[degC]: 20.96514, Humidity[%]: 54.54643
TimeStamp: 2022/01/18 18:06:35.18973, ElapsedTime[s]: 110.838, Temperature[degC]: 20.93576, Humidity[%]: 54.48081
TimeStamp: 2022/01/18 18:06:36.359711, ElapsedTime[s]: 112.18, Temperature[degC]: 20.96514, Humidity[%]: 54.43656
TimeStamp: 2022/01/18 18:06:37.701998, ElapsedTime[s]: 113.522, Temperature[degC]: 20.95178, Humidity[%]: 54.44877
TimeStamp: 2022/01/18 18:06:39.44888, ElapsedTime[s]: 114.867, Temperature[degC]: 20.95178, Humidity[%]: 54.49455
TimeStamp: 2022/01/18 18:06:40.389149, ElapsedTime[s]: 116.208, Temperature[degC]: 20.95178, Humidity[%]: 54.60441
TimeStamp: 2022/01/18 18:06:41.731101, ElapsedTime[s]: 117.551, Temperature[degC]: 20.95178, Humidity[%]: 54.7509
TimeStamp: 2022/01/18 18:06:43.71916, ElapsedTime[s]: 118.891, Temperature[degC]: 20.95178, Humidity[%]: 54.84855
TimeStamp: 2022/01/18 18:06:44.411695, ElapsedTime[s]: 120.232, Temperature[degC]: 20.93576, Humidity[%]: 54.86991
TimeStamp: 2022/01/18 18:06:45.754258, ElapsedTime[s]: 121.573, Temperature[degC]: 20.95178, Humidity[%]: 54.95689
TimeStamp: 2022/01/18 18:06:47.94863, ElapsedTime[s]: 122.914, Temperature[degC]: 20.95178, Humidity[%]: 55.03014
TimeStamp: 2022/01/18 18:06:48.435708, ElapsedTime[s]: 124.256, Temperature[degC]: 20.93576, Humidity[%]: 55.07591
